caldt,b30ret,b30ind,b20ret,b20ind,b10ret,b10ind,b7ret,b7ind,b5ret,b5ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
2014-03-31,0.086598,2188.225000,0.069539,2685.825000,0.036126,2189.678000,0.017198,2355.010000,0.008722,1910.920000,0.002162,1430.822000,0.000948,1244.306000,0.000222,968.779200,0.000085,794.775500,0.013920,556.0
2014-06-30,0.047635,2292.460000,0.039891,2792.964000,0.025191,2244.837000,0.019310,2400.484000,0.013131,1936.012000,0.002661,1434.629000,0.000678,1245.150000,0.000124,968.899400,0.000043,794.809700,0.008676,560.8
2014-09-30,0.040153,2384.509000,0.030076,2876.966000,0.007790,2262.325000,0.002801,2407.207000,0.000652,1937.274000,0.000881,1435.893000,0.001095,1246.514000,0.000116,969.011700,0.000020,794.825500,-0.001309,560.1
2014-12-31,0.097399,2616.757000,0.087720,3129.332000,0.028963,2327.849000,0.022431,2461.202000,0.014765,1965.878000,0.001260,1437.702000,-0.000312,1246.124000,0.000036,969.046700,0.000016,794.838600,-0.013523,552.5
2015-03-31,0.052271,2753.538000,0.030279,3224.086000,0.024583,2385.075000,0.023302,2518.553000,0.019033,2003.294000,0.005235,1445.228000,0.001569,1248.080000,0.000091,969.134800,-0.000016,794.825900,0.005566,555.6
2015-06-30,-0.109301,2452.574000,-0.072059,2991.762000,-0.029896,2313.771000,-0.018666,2471.541000,-0.007541,1988.187000,0.001881,1447.947000,0.000810,1249.091000,0.000147,969.277300,0.000028,794.848200,0.010668,561.5
2015-09-30,0.060708,2601.465000,0.057191,3162.863000,0.032001,2387.815000,0.029317,2544.000000,0.019718,2027.390000,0.003815,1453.470000,0.001348,1250.775000,0.000164,969.436300,-0.000016,794.835100,-0.002904,559.9
2015-12-31,-0.026188,2533.339000,-0.017275,3108.224000,-0.014718,2352.670000,-0.016364,2502.370000,-0.012060,2002.941000,-0.004645,1446.719000,-0.002149,1248.086000,0.000209,969.638800,0.000096,794.911700,-0.005968,556.5
2016-03-31,0.091806,2765.915000,0.080643,3358.882000,0.045446,2459.591000,0.042272,2608.150000,0.033047,2069.131000,0.009404,1460.323000,0.004291,1253.442000,0.000758,970.373900,0.000432,795.254800,0.006794,560.3
2016-06-30,0.076874,2978.541000,0.058038,3553.824000,0.029989,2533.352000,0.022026,2665.597000,0.015120,2100.417000,0.005059,1467.711000,0.003261,1257.529000,0.000846,971.195100,0.000354,795.536000,0.012119,567.1
2016-09-30,-0.000691,2976.482000,-0.016623,3494.749000,-0.006016,2518.112000,-0.005161,2651.839000,-0.004297,2091.392000,-0.001637,1465.309000,0.000035,1257.572000,0.001092,972.256000,0.000555,795.977600,0.001701,568.1
2016-12-30,-0.143521,2549.295000,-0.098297,3151.226000,-0.059124,2369.230000,-0.046755,2527.851000,-0.029913,2028.832000,-0.004751,1458.347000,0.000077,1257.670000,0.000842,973.074900,0.000543,796.409900,0.000017,568.1
2017-03-31,0.017386,2593.618000,0.014448,3196.757000,0.012053,2397.788000,0.009195,2551.094000,0.006928,2042.889000,0.002921,1462.606000,0.001617,1259.703000,0.001212,974.254700,0.001075,797.266000,0.009813,573.6
2017-06-30,0.046417,2714.005000,0.028579,3288.115000,0.017674,2440.166000,0.011120,2579.462000,0.008075,2059.385000,0.001661,1465.035000,0.001545,1261.649000,0.002079,976.280500,0.001769,798.676400,0.004734,576.4
2017-09-29,-0.002105,2708.291000,0.003922,3301.012000,-0.000329,2439.364000,0.004178,2590.238000,0.003609,2066.817000,0.001747,1467.595000,0.002879,1265.281000,0.002699,978.916000,0.002495,800.669500,0.007609,580.8
2017-12-29,0.031142,2792.631000,0.015337,3351.638000,-0.001523,2435.648000,-0.004053,2579.741000,-0.006103,2054.203000,-0.002762,1463.541000,-0.000291,1264.913000,0.002835,981.690900,0.002552,802.712700,-0.001196,580.1
2018-03-29,-0.039964,2681.026000,-0.028950,3254.609000,-0.023974,2377.256000,-0.016501,2537.174000,-0.009810,2034.050000,-0.001882,1460.787000,0.002425,1267.980000,0.003464,985.091400,0.002457,804.684900,0.012291,587.2
2018-06-29,0.004519,2693.142000,-0.001069,3251.131000,-0.003786,2368.255000,-0.001631,2533.036000,-0.000643,2032.742000,0.001851,1463.491000,0.004408,1273.569000,0.004499,989.523000,0.004248,808.103400,0.009758,592.9
2018-09-28,-0.033086,2604.037000,-0.022768,3177.110000,-0.009975,2344.632000,-0.005438,2519.261000,-0.002241,2028.187000,0.001723,1466.013000,0.004274,1279.012000,0.004898,994.369700,0.004630,811.845300,0.001786,594.0
2018-12-31,0.044516,2719.958000,0.049286,3333.697000,0.039366,2436.931000,0.035219,2607.987000,0.028331,2085.648000,0.014302,1486.980000,0.007899,1289.115000,0.005777,1000.114000,0.005626,816.412400,-0.004777,591.1
2019-03-29,0.049688,2855.108000,0.043867,3479.935000,0.032338,2515.736000,0.024435,2671.712000,0.019753,2126.846000,0.010163,1502.092000,0.008326,1299.849000,0.005665,1005.780000,0.005675,821.045000,0.011818,598.1
2019-06-28,0.065926,3043.333000,0.052426,3662.375000,0.037822,2610.887000,0.034872,2764.880000,0.028835,2188.174000,0.014556,1523.956000,0.009437,1312.115000,0.006417,1012.233000,0.005973,825.948600,0.007636,602.7
2019-09-30,0.095085,3332.708000,0.061688,3888.299000,0.029457,2687.797000,0.019371,2818.438000,0.015041,2221.086000,0.006352,1533.637000,0.005326,1319.103000,0.005743,1018.047000,0.005488,830.481500,0.002404,604.1
2019-12-31,-0.053375,3154.825000,-0.039017,3736.589000,-0.019347,2635.797000,-0.009514,2791.623000,-0.001915,2216.832000,0.004512,1540.557000,0.005452,1326.295000,0.004596,1022.725000,0.004165,833.940000,0.000837,604.6
2020-03-31,0.270715,4008.884000,0.193366,4459.117000,0.112754,2932.995000,0.092476,3049.780000,0.065975,2363.087000,0.029371,1585.805000,0.016925,1348.742000,0.005899,1028.758000,0.003644,836.979400,0.004441,607.3
2020-06-30,-0.013836,3953.417000,-0.003608,4443.027000,0.006131,2950.976000,0.005712,3067.200000,0.006925,2379.452000,0.002377,1589.574000,0.000281,1349.121000,0.000300,1029.067000,0.000173,837.124600,-0.001232,606.6
2020-09-30,-0.008994,3917.861000,-0.002588,4431.528000,0.000478,2952.387000,0.003431,3077.725000,0.002415,2385.199000,0.000648,1590.604000,0.000938,1350.386000,0.000498,1029.579000,0.000251,837.334600,0.009631,612.4
2020-12-31,-0.044000,3745.474000,-0.028756,4304.092000,-0.018262,2898.470000,-0.007537,3054.528000,-0.002025,2380.369000,0.000929,1592.081000,0.000731,1351.374000,0.000217,1029.803000,0.000199,837.501500,0.000745,612.9
2021-03-31,-0.156160,3160.581000,-0.113907,3813.826000,-0.064117,2712.630000,-0.044347,2919.069000,-0.023372,2324.735000,-0.000480,1591.317000,0.000322,1351.809000,0.000280,1030.091000,0.000118,837.600000,0.016903,623.2
2021-06-30,0.076526,3402.447000,0.050620,4006.884000,0.029633,2793.012000,0.017328,2969.651000,0.007376,2341.883000,-0.000639,1590.300000,0.000126,1351.979000,0.000126,1030.221000,0.000023,837.619600,0.025744,639.3
2021-09-30,0.015380,3454.778000,0.010380,4048.475000,0.003161,2801.840000,0.001190,2973.187000,0.000049,2341.999000,0.000768,1591.522000,0.000475,1352.621000,0.000139,1030.364000,0.000113,837.714400,0.009622,645.4
2021-12-31,0.035821,3578.531000,0.009161,4085.562000,0.002712,2809.439000,-0.004788,2958.952000,-0.009351,2320.099000,-0.006139,1581.752000,-0.002526,1349.204000,0.000120,1030.488000,0.000148,837.838500,0.016376,656.0
2022-03-31,-0.112011,3177.696000,-0.099308,3679.831000,-0.067870,2618.762000,-0.058726,2785.185000,-0.051526,2200.553000,-0.026802,1539.357000,-0.009447,1336.458000,0.000369,1030.868000,0.000132,837.949300,0.031212,676.5
2022-06-30,-0.139190,2735.391000,-0.112241,3266.802000,-0.051446,2484.037000,-0.033735,2691.226000,-0.021337,2153.599000,-0.003322,1534.244000,-0.004385,1330.598000,0.001083,1031.985000,0.000911,838.712700,0.030634,697.2
2022-09-30,-0.101773,2457.004000,-0.084358,2991.222000,-0.060534,2333.670000,-0.048905,2559.611000,-0.040543,2066.285000,-0.016645,1508.707000,-0.004936,1324.030000,0.004046,1036.160000,0.004649,842.611900,0.001678,698.4
2022-12-30,-0.029019,2385.704000,0.000717,2993.368000,0.006176,2348.083000,0.013231,2593.478000,0.013653,2094.496000,0.009147,1522.507000,0.007423,1333.859000,0.008275,1044.734000,0.008586,849.846700,-0.000037,698.3
2023-03-31,0.067912,2547.722000,0.059306,3170.893000,0.042767,2448.503000,0.034128,2681.987000,0.029957,2157.240000,0.017448,1549.071000,0.012720,1350.826000,0.011064,1056.294000,0.010631,858.881600,0.016978,710.2
2023-06-30,-0.029283,2473.118000,-0.027300,3084.329000,-0.022296,2393.911000,-0.022457,2621.757000,-0.017914,2118.596000,-0.009302,1534.662000,0.003407,1355.428000,0.011933,1068.898000,0.011423,868.692900,0.010843,717.9
2023-09-29,-0.124379,2165.516000,-0.096060,2788.050000,-0.048718,2277.284000,-0.029655,2544.010000,-0.012805,2091.467000,0.006736,1544.999000,0.011999,1371.692000,0.011966,1081.689000,0.013253,880.205900,0.008784,724.2
2023-12-29,0.126552,2439.566000,0.107530,3087.850000,0.067224,2430.371000,0.055674,2685.644000,0.047409,2190.622000,0.025551,1584.475000,0.019206,1398.038000,0.013657,1096.461000,0.013465,892.057900,-0.003388,721.8
2024-03-28,-0.040914,2339.754000,-0.026131,3007.162000,-0.016383,2390.554000,-0.014760,2646.003000,-0.006900,2175.506000,0.002146,1587.876000,0.007759,1408.885000,0.013044,1110.764000,0.013167,903.803800,0.018211,734.9
2024-06-28,-0.023592,2284.554000,-0.018120,2952.674000,-0.004645,2379.449000,-0.001042,2643.245000,0.003502,2183.125000,0.008353,1601.139000,0.011000,1424.383000,0.013536,1125.798000,0.013464,915.972200,0.005901,739.2
2024-09-30,0.084607,2477.843000,0.078831,3185.438000,0.059990,2522.193000,0.057678,2795.704000,0.047941,2287.786000,0.032145,1652.608000,0.022007,1455.729000,0.014198,1141.782000,0.013812,928.623600,0.003584,741.9
2024-12-31,-0.094580,2243.488000,-0.079826,2931.156000,-0.051607,2392.029000,-0.040356,2682.879000,-0.025026,2230.533000,-0.001721,1649.763000,0.007522,1466.680000,0.011852,1155.314000,0.011569,939.367100,0.000964,742.6
